State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.14969	1.10881	1.09859	1.19057	1.05771	1.14458	1.27743	1.18546	1.21612	1.20079	1.30809	1.52270	1.37452	1.46649	1.44094	1.44605	1.46138	1.35408	1.32853	1.42561	1.41539
2	0.65215	0.65291	0.65460	0.65637	0.65907	0.65895	0.66034	0.66326	0.66930	0.67939	0.69375	0.69827	0.70971	0.71791	0.72779	0.73852	0.74861	0.76149	0.77176	0.77750	0.78417
3	1.33882	1.32258	1.29444	1.29877	1.29986	1.27063	1.27821	1.31176	1.32150	1.32691	1.34098	1.34423	1.33016	1.32367	1.30527	1.29444	1.26630	1.25115	1.21652	1.19487	1.17864
4	3.64737	3.65390	3.64690	3.64316	3.63476	3.62122	3.58340	3.54558	3.49282	3.43586	3.34809	3.25611	3.16600	3.08850	2.98204	2.87513	2.76774	2.65242	2.56231	2.50301	2.43438
5	3.66549	3.93778	4.11931	4.17517	4.27291	4.45444	4.49633	4.55219	4.44746	4.41953	4.38462	4.31480	4.18913	4.09836	4.00062	3.81211	3.60963	3.37923	3.27450	3.18374	3.09297
6	1.35638	1.36306	1.40988	1.39651	1.40453	1.44867	1.49817	1.53696	1.51957	1.47677	1.35771	1.48747	1.50619	1.48479	1.54231	1.50619	1.51288	1.50486	1.54097	1.54097	1.57709
7	1.13118	1.10530	1.05725	1.03137	1.03876	1.07943	1.12748	1.20881	1.31601	1.31601	1.22729	1.31601	1.33819	1.28644	1.31601	1.36037	1.31971	1.32710	1.34928	1.36037	1.27905
8	0.97925	0.96410	0.95906	0.96915	0.96410	1.00448	0.95401	0.96410	0.99944	1.08020	1.22658	1.15591	1.11553	1.16096	1.04991	1.09030	1.31239	1.26192	1.25182	1.24172	1.34268
9	4.55399	4.43388	4.33880	4.23371	4.06856	3.86338	3.68823	3.50807	3.40799	3.22783	3.17778	2.98261	2.96260	2.92256	2.78244	2.77243	2.83248	2.81747	2.76242	2.75742	2.75241
10	4.15696	4.08503	3.99038	3.88438	3.85030	3.86923	3.88438	3.78594	3.66101	3.42249	3.09311	3.04390	2.94546	2.95303	3.06283	3.13855	3.11204	3.21426	3.14612	3.16505	3.14612
