State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.42519	1.36656	1.28087	1.22675	1.03281	1.05085	0.88398	0.78927	0.78927	1.22675	0.97418	0.55474	0.50062	0.49611	0.46905	0.57729	0.54121	0.73515	0.76672	0.90202	0.92006
2	0.79936	0.78002	0.75366	0.71836	0.67258	0.61241	0.54069	0.46184	0.39433	0.35430	0.33771	0.34225	0.35627	0.37711	0.39951	0.42662	0.46009	0.49577	0.53267	0.56388	0.59154
3	2.21152	2.29845	2.37488	2.42646	2.43315	2.39781	2.30228	2.12363	1.88290	1.59153	1.38996	1.36321	1.53803	1.76826	2.05963	2.30514	2.43888	2.55065	2.57931	2.57549	2.53632
4	0.83657	0.76527	0.68945	0.62269	0.56829	0.52337	0.48958	0.45867	0.43353	0.42076	0.41664	0.42653	0.44136	0.45785	0.47309	0.50070	0.56458	0.70470	0.88973	1.10856	1.34222
5	2.34793	2.13224	1.93504	1.75016	1.62075	1.40506	1.38657	1.32495	1.26949	1.27565	1.37425	1.38041	1.44204	1.46052	1.46669	1.64540	1.89190	2.37874	3.25383	4.28297	5.23817
6	2.18661	2.21377	2.28815	2.24328	2.27988	2.26453	2.12758	1.87727	1.63642	1.57620	1.56439	1.37549	1.17005	1.15588	1.26923	1.42862	1.73913	2.08979	2.42511	2.69194	2.76750
7	2.07191	2.16001	2.14043	2.22200	2.30684	2.58418	2.65596	2.75059	2.63965	2.03602	1.41934	1.35409	1.27251	1.02454	1.02454	1.13547	1.37693	1.64448	1.78152	1.85330	1.96098
8	1.42570	1.45689	1.46134	1.62173	1.60391	1.63064	1.60391	1.58164	1.14502	0.83314	0.76186	0.57919	0.59256	0.77522	0.69948	0.75295	0.74404	0.70394	0.77522	0.73067	0.84651
9	5.95869	7.07622	8.90932	11.28573	15.02261	19.57224	25.34099	32.11684	38.29639	38.68509	40.67721	49.57770	51.18553	49.64395	45.30635	38.36706	30.36325	23.30028	18.09692	14.48372	11.61260
10	6.49952	7.63235	8.93225	10.72338	12.45436	14.73671	17.87787	21.42671	25.00228	30.11502	31.68560	25.60378	23.06078	21.57040	21.45344	22.40916	23.25125	22.22537	19.61219	16.33402	13.32653
