State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.68043	0.49793	1.06610	1.00196	1.30823	0.97421	0.94542	1.00615
2	82.32089	0.17728	0.57123	0.85401	0.69378	0.33772	0.56072	1.10315
3	3.21239	2.51684	1.25579	1.02207	1.34112	1.39001	2.27170	1.25936
4	7.44670	0.45549	4.09242	2.23213	3.34750	0.41665	0.64665	0.23744
5	0.49798	1.92264	3.83425	2.04142	4.38508	1.37429	1.80431	0.07309
6	2.59919	0.90571	1.32555	1.26394	1.35786	1.56444	1.93381	0.55400
7	0.94053	0.39320	1.07997	1.36936	1.22742	1.41939	1.89727	0.41212
8	0.68880	0.06829	0.91637	1.28606	1.22671	0.76188	1.12901	0.43948
9	0.69475	42.06249	7.32254	1.82066	3.17812	40.67404	23.55789	0.21169
10	0.91835	44.25246	6.15528	1.49177	3.09344	31.68657	17.67392	0.40909
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
