State (Emission order)	H3k27me3	H3k4me3	H3k4me2	H3k9ac	H3k27ac	H3k4me1	H4k20me1	H3k36me3	Ctcf
1	0.003103983404705975	0.0012231740036882436	0.03640978508916654	0.00629141440867682	0.0021714889350000297	0.038235182554897613	0.013069715488005002	0.0038590435140816266	0.8841986622049355
2	0.0024762732750597165	6.614968980659468E-5	1.0589744385670044E-4	0.0015577083336907498	9.601069604695336E-5	9.115305429740406E-4	0.0020101600256871616	0.0010502792511817025	0.0012797843611419605
3	0.1521006085441911	3.8805625130322954E-4	0.0014803400362569307	0.0023090394394985896	1.6552384222900678E-5	0.0062967113807677125	0.021138412100481816	7.089955416709662E-5	0.005237180783777186
4	7.07411285274934E-5	6.654232446636743E-5	1.4126874149126905E-4	0.004136277975488285	0.0021159430247888254	0.003934802539254424	0.01797141988817964	0.2631437777466503	0.0072842948892397775
5	0.017850338873533773	0.034699338657476556	0.15323892070467282	0.06407967893769578	0.06704367326002966	0.3776505712340718	0.38465977908236676	0.355872422541591	0.07563643113389565
6	9.552042107934335E-4	3.017124902614038E-4	0.2337677347809797	0.007372095326762686	0.023947387517468676	0.6740695884304561	0.008428115416598147	0.006882351811330181	0.017321644222920967
7	1.114169164476304E-4	0.13003824210718998	0.9451575211857713	0.3039357445656718	0.898267421144371	0.8583891098030341	0.021110741402517657	0.02362033471543552	0.03697085535230869
8	1.3938972588658534E-4	1.6965030151042752E-5	0.07198090020079585	0.05022515796581705	0.7119246052485712	0.5737970621588335	0.0029112912319562726	0.03507996947409347	0.01734999323544671
9	0.005907030749900102	0.9933843040750044	0.9821524232253012	0.7890771256116371	0.8651481433028766	0.26030899616642744	0.04107928220464985	0.036157605394477224	0.06701215871173495
10	0.11569869188628805	0.6382770016055866	0.9504794720005274	0.049950368826165284	0.03967377079262626	0.5828316906075943	0.03758712419442038	0.017446332630506253	0.08560414620987422
